seed,latent_dim,fbank_size,ckpt_path,fpe,tpa,tpa_mean,tpa_std
0,2,2,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim2_fbank2_seed0.pth,0.1792921793645181,"[0.6000000238418579, 0.5199999809265137, 0.5350000262260437, 0.6650000214576721, 0.6949999928474426, 0.5400000214576721, 0.5400000214576721, 0.5950000286102295]",0.586250014603138,0.060814779093605734
1,2,2,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim2_fbank2_seed1.pth,0.17980064966950685,"[0.5600000023841858, 0.4350000023841858, 0.5649999976158142, 0.675000011920929, 0.6650000214576721, 0.550000011920929, 0.49000000953674316, 0.574999988079071]",0.5643750056624413,0.074976562421596
2,2,2,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim2_fbank2_seed2.pth,0.17927700701106775,"[0.6150000095367432, 0.5, 0.5450000166893005, 0.5199999809265137, 0.6549999713897705, 0.5450000166893005, 0.5299999713897705, 0.6050000190734863]",0.5643749982118607,0.05058640466570452
0,2,4,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim2_fbank4_seed0.pth,0.17948647643977014,"[0.6449999809265137, 0.574999988079071, 0.6100000143051147, 0.6299999952316284, 0.6349999904632568, 0.6050000190734863, 0.5849999785423279, 0.6549999713897705]",0.6174999922513962,0.026692691108268513
1,2,4,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim2_fbank4_seed1.pth,0.17956797411703346,"[0.5699999928474426, 0.5400000214576721, 0.5849999785423279, 0.6499999761581421, 0.6399999856948853, 0.6349999904632568, 0.5049999952316284, 0.5600000023841858]",0.5856249928474426,0.04876200925408652
2,2,4,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim2_fbank4_seed2.pth,0.1805306667794814,"[0.5849999785423279, 0.5350000262260437, 0.5600000023841858, 0.6600000262260437, 0.6650000214576721, 0.5450000166893005, 0.5149999856948853, 0.6050000190734863]",0.5837500095367432,0.05248512437654263
0,2,8,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim2_fbank8_seed0.pth,0.17986564974743083,"[0.625, 0.5299999713897705, 0.6200000047683716, 0.699999988079071, 0.675000011920929, 0.5049999952316284, 0.49000000953674316, 0.5649999976158142]",0.588749997317791,0.07321842501389611
1,2,8,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim2_fbank8_seed1.pth,0.17938542111036498,"[0.5199999809265137, 0.44999998807907104, 0.5550000071525574, 0.6100000143051147, 0.6100000143051147, 0.5199999809265137, 0.48500001430511475, 0.5299999713897705]",0.5349999964237213,0.052261370298956104
2,2,8,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim2_fbank8_seed2.pth,0.1795384721377798,"[0.5600000023841858, 0.5199999809265137, 0.5600000023841858, 0.6650000214576721, 0.6150000095367432, 0.5400000214576721, 0.5400000214576721, 0.6299999952316284]",0.5787500068545341,0.048137177213261134
0,2,16,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim2_fbank16_seed0.pth,0.18036918516718947,"[0.5899999737739563, 0.47999998927116394, 0.5699999928474426, 0.6600000262260437, 0.6949999928474426, 0.5950000286102295, 0.5149999856948853, 0.6150000095367432]",0.5899999998509884,0.06585970669229847
1,2,16,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim2_fbank16_seed1.pth,0.1793582781672095,"[0.625, 0.6150000095367432, 0.550000011920929, 0.6700000166893005, 0.6299999952316284, 0.5450000166893005, 0.5450000166893005, 0.6650000214576721]",0.6056250110268593,0.048953899576340804
2,2,16,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim2_fbank16_seed2.pth,0.1804173993656518,"[0.6299999952316284, 0.5049999952316284, 0.5350000262260437, 0.7300000190734863, 0.7649999856948853, 0.5450000166893005, 0.4950000047683716, 0.6299999952316284]",0.6043750047683716,0.0955718767419666
