seed,latent_dim,fbank_size,ckpt_path,wandb_run_url,query_sim_only,query
0,2,2,results/frozen_sirl_ts/frozen_sirl_ts_1786633548.pth,https://wandb.ai/m1randa-massachusetts-institute-of-technology/tversky-sirl/runs/4g7xec2x,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 269, 1: 696, 2: 35}, 'n_both_nonempty': 35, 'n_ttest_run': 35, 'n_significant': {0.05: 22, 0.01: 22, 0.001: 22}, 'frac_significant': {0.05: 0.6285714285714286, 0.01: 0.6285714285714286, 0.001: 0.6285714285714286}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 30, 1: 912, 2: 58}, 'n_both_nonempty': 58, 'n_ttest_run': 58, 'n_significant': {0.05: 58, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 1.0, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 269, 1: 696, 2: 35}, 'n_both_nonempty': 35, 'n_ttest_run': 35, 'n_significant': {0.05: 22, 0.01: 22, 0.001: 22}, 'frac_significant': {0.05: 0.6285714285714286, 0.01: 0.6285714285714286, 0.001: 0.6285714285714286}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 30, 1: 912, 2: 58}, 'n_both_nonempty': 58, 'n_ttest_run': 58, 'n_significant': {0.05: 58, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 1.0, 0.01: 0.0, 0.001: 0.0}}}}"
1,2,2,results/frozen_sirl_ts/frozen_sirl_ts_1786633561.pth,https://wandb.ai/m1randa-massachusetts-institute-of-technology/tversky-sirl/runs/3hff2k3x,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 173, 1: 739, 2: 88}, 'n_both_nonempty': 88, 'n_ttest_run': 88, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 10, 1: 981, 2: 9}, 'n_both_nonempty': 9, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 173, 1: 739, 2: 88}, 'n_both_nonempty': 88, 'n_ttest_run': 88, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 10, 1: 981, 2: 9}, 'n_both_nonempty': 9, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}}"
2,2,2,results/frozen_sirl_ts/frozen_sirl_ts_1786633571.pth,https://wandb.ai/m1randa-massachusetts-institute-of-technology/tversky-sirl/runs/r6rnvaeu,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 266, 1: 682, 2: 52}, 'n_both_nonempty': 52, 'n_ttest_run': 52, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 13, 1: 984, 2: 3}, 'n_both_nonempty': 3, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 266, 1: 682, 2: 52}, 'n_both_nonempty': 52, 'n_ttest_run': 52, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 13, 1: 984, 2: 3}, 'n_both_nonempty': 3, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}}"
0,2,4,results/frozen_sirl_ts/frozen_sirl_ts_1786633581.pth,https://wandb.ai/m1randa-massachusetts-institute-of-technology/tversky-sirl/runs/nf47s2r5,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 232, 1: 722, 2: 46}, 'n_both_nonempty': 46, 'n_ttest_run': 46, 'n_significant': {0.05: 31, 0.01: 5, 0.001: 5}, 'frac_significant': {0.05: 0.6739130434782609, 0.01: 0.10869565217391304, 0.001: 0.10869565217391304}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 24, 1: 902, 2: 74}, 'n_both_nonempty': 74, 'n_ttest_run': 74, 'n_significant': {0.05: 71, 0.01: 71, 0.001: 0}, 'frac_significant': {0.05: 0.9594594594594594, 0.01: 0.9594594594594594, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 232, 1: 722, 2: 46}, 'n_both_nonempty': 46, 'n_ttest_run': 46, 'n_significant': {0.05: 31, 0.01: 5, 0.001: 5}, 'frac_significant': {0.05: 0.6739130434782609, 0.01: 0.10869565217391304, 0.001: 0.10869565217391304}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 24, 1: 902, 2: 74}, 'n_both_nonempty': 74, 'n_ttest_run': 74, 'n_significant': {0.05: 71, 0.01: 71, 0.001: 0}, 'frac_significant': {0.05: 0.9594594594594594, 0.01: 0.9594594594594594, 0.001: 0.0}}}}"
1,2,4,results/frozen_sirl_ts/frozen_sirl_ts_1786633592.pth,https://wandb.ai/m1randa-massachusetts-institute-of-technology/tversky-sirl/runs/17p1pnv1,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 151, 1: 740, 2: 109}, 'n_both_nonempty': 109, 'n_ttest_run': 109, 'n_significant': {0.05: 56, 0.01: 16, 0.001: 0}, 'frac_significant': {0.05: 0.5137614678899083, 0.01: 0.14678899082568808, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 5, 1: 979, 2: 16}, 'n_both_nonempty': 16, 'n_ttest_run': 14, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 151, 1: 740, 2: 109}, 'n_both_nonempty': 109, 'n_ttest_run': 109, 'n_significant': {0.05: 56, 0.01: 16, 0.001: 0}, 'frac_significant': {0.05: 0.5137614678899083, 0.01: 0.14678899082568808, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 5, 1: 979, 2: 16}, 'n_both_nonempty': 16, 'n_ttest_run': 14, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}}"
2,2,4,results/frozen_sirl_ts/frozen_sirl_ts_1786633603.pth,https://wandb.ai/m1randa-massachusetts-institute-of-technology/tversky-sirl/runs/8vovzz6d,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 137, 1: 723, 2: 140}, 'n_both_nonempty': 140, 'n_ttest_run': 140, 'n_significant': {0.05: 34, 0.01: 27, 0.001: 0}, 'frac_significant': {0.05: 0.24285714285714285, 0.01: 0.19285714285714287, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 6, 1: 976, 2: 18}, 'n_both_nonempty': 18, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 137, 1: 723, 2: 140}, 'n_both_nonempty': 140, 'n_ttest_run': 140, 'n_significant': {0.05: 34, 0.01: 27, 0.001: 0}, 'frac_significant': {0.05: 0.24285714285714285, 0.01: 0.19285714285714287, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 6, 1: 976, 2: 18}, 'n_both_nonempty': 18, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}}"
0,2,8,results/frozen_sirl_ts/frozen_sirl_ts_1786633613.pth,https://wandb.ai/m1randa-massachusetts-institute-of-technology/tversky-sirl/runs/si3aiqv0,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 224, 1: 626, 2: 150}, 'n_both_nonempty': 150, 'n_ttest_run': 150, 'n_significant': {0.05: 71, 0.01: 41, 0.001: 41}, 'frac_significant': {0.05: 0.47333333333333333, 0.01: 0.2733333333333333, 0.001: 0.2733333333333333}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 21, 1: 872, 2: 107}, 'n_both_nonempty': 107, 'n_ttest_run': 97, 'n_significant': {0.05: 92, 0.01: 84, 0.001: 0}, 'frac_significant': {0.05: 0.9484536082474226, 0.01: 0.865979381443299, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 224, 1: 626, 2: 150}, 'n_both_nonempty': 150, 'n_ttest_run': 150, 'n_significant': {0.05: 71, 0.01: 41, 0.001: 41}, 'frac_significant': {0.05: 0.47333333333333333, 0.01: 0.2733333333333333, 0.001: 0.2733333333333333}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 21, 1: 872, 2: 107}, 'n_both_nonempty': 107, 'n_ttest_run': 97, 'n_significant': {0.05: 92, 0.01: 84, 0.001: 0}, 'frac_significant': {0.05: 0.9484536082474226, 0.01: 0.865979381443299, 0.001: 0.0}}}}"
1,2,8,results/frozen_sirl_ts/frozen_sirl_ts_1786633624.pth,https://wandb.ai/m1randa-massachusetts-institute-of-technology/tversky-sirl/runs/qjf8hdbz,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 133, 1: 572, 2: 295}, 'n_both_nonempty': 295, 'n_ttest_run': 295, 'n_significant': {0.05: 12, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.04067796610169491, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 4, 1: 921, 2: 75}, 'n_both_nonempty': 75, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 133, 1: 572, 2: 295}, 'n_both_nonempty': 295, 'n_ttest_run': 295, 'n_significant': {0.05: 12, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.04067796610169491, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 4, 1: 921, 2: 75}, 'n_both_nonempty': 75, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}}"
2,2,8,results/frozen_sirl_ts/frozen_sirl_ts_1786633635.pth,https://wandb.ai/m1randa-massachusetts-institute-of-technology/tversky-sirl/runs/ruj10xb8,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 116, 1: 127, 2: 757}, 'n_both_nonempty': 757, 'n_ttest_run': 757, 'n_significant': {0.05: 389, 0.01: 342, 0.001: 299}, 'frac_significant': {0.05: 0.5138705416116248, 0.01: 0.45178335535006603, 0.001: 0.3949801849405548}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 6, 1: 20, 2: 974}, 'n_both_nonempty': 974, 'n_ttest_run': 937, 'n_significant': {0.05: 937, 0.01: 937, 0.001: 0}, 'frac_significant': {0.05: 1.0, 0.01: 1.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 116, 1: 127, 2: 757}, 'n_both_nonempty': 757, 'n_ttest_run': 757, 'n_significant': {0.05: 389, 0.01: 342, 0.001: 299}, 'frac_significant': {0.05: 0.5138705416116248, 0.01: 0.45178335535006603, 0.001: 0.3949801849405548}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 6, 1: 20, 2: 974}, 'n_both_nonempty': 974, 'n_ttest_run': 937, 'n_significant': {0.05: 937, 0.01: 937, 0.001: 0}, 'frac_significant': {0.05: 1.0, 0.01: 1.0, 0.001: 0.0}}}}"
0,2,16,results/frozen_sirl_ts/frozen_sirl_ts_1786633646.pth,https://wandb.ai/m1randa-massachusetts-institute-of-technology/tversky-sirl/runs/vuona1ol,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 188, 1: 569, 2: 243}, 'n_both_nonempty': 243, 'n_ttest_run': 243, 'n_significant': {0.05: 72, 0.01: 49, 0.001: 49}, 'frac_significant': {0.05: 0.2962962962962963, 0.01: 0.20164609053497942, 0.001: 0.20164609053497942}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 8, 1: 877, 2: 115}, 'n_both_nonempty': 115, 'n_ttest_run': 112, 'n_significant': {0.05: 104, 0.01: 101, 0.001: 0}, 'frac_significant': {0.05: 0.9285714285714286, 0.01: 0.9017857142857143, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 188, 1: 569, 2: 243}, 'n_both_nonempty': 243, 'n_ttest_run': 243, 'n_significant': {0.05: 72, 0.01: 49, 0.001: 49}, 'frac_significant': {0.05: 0.2962962962962963, 0.01: 0.20164609053497942, 0.001: 0.20164609053497942}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 8, 1: 877, 2: 115}, 'n_both_nonempty': 115, 'n_ttest_run': 112, 'n_significant': {0.05: 104, 0.01: 101, 0.001: 0}, 'frac_significant': {0.05: 0.9285714285714286, 0.01: 0.9017857142857143, 0.001: 0.0}}}}"
