seed,latent_dim,fbank_size,ckpt_path,wandb_run_url,query_sim_only,query
0,2,2,results/sirl_ts/sirl_ts_1786637149.pth,https://wandb.ai/m1randa-massachusetts-institute-of-technology/tversky-sirl/runs/j6fp94gn,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 448, 1: 38, 2: 514}, 'n_both_nonempty': 514, 'n_ttest_run': 514, 'n_significant': {0.05: 440, 0.01: 440, 0.001: 0}, 'frac_significant': {0.05: 0.8560311284046692, 0.01: 0.8560311284046692, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 580, 1: 16, 2: 404}, 'n_both_nonempty': 404, 'n_ttest_run': 404, 'n_significant': {0.05: 257, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.6361386138613861, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 448, 1: 38, 2: 514}, 'n_both_nonempty': 514, 'n_ttest_run': 514, 'n_significant': {0.05: 440, 0.01: 440, 0.001: 0}, 'frac_significant': {0.05: 0.8560311284046692, 0.01: 0.8560311284046692, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 580, 1: 16, 2: 404}, 'n_both_nonempty': 404, 'n_ttest_run': 404, 'n_significant': {0.05: 257, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.6361386138613861, 0.01: 0.0, 0.001: 0.0}}}}"
1,2,2,results/sirl_ts/sirl_ts_1786637166.pth,https://wandb.ai/m1randa-massachusetts-institute-of-technology/tversky-sirl/runs/emslct1u,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 395, 1: 173, 2: 432}, 'n_both_nonempty': 432, 'n_ttest_run': 432, 'n_significant': {0.05: 355, 0.01: 355, 0.001: 0}, 'frac_significant': {0.05: 0.8217592592592593, 0.01: 0.8217592592592593, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 442, 1: 65, 2: 493}, 'n_both_nonempty': 493, 'n_ttest_run': 493, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 395, 1: 173, 2: 432}, 'n_both_nonempty': 432, 'n_ttest_run': 432, 'n_significant': {0.05: 355, 0.01: 355, 0.001: 0}, 'frac_significant': {0.05: 0.8217592592592593, 0.01: 0.8217592592592593, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 442, 1: 65, 2: 493}, 'n_both_nonempty': 493, 'n_ttest_run': 493, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}}"
2,2,2,results/sirl_ts/sirl_ts_1786637183.pth,https://wandb.ai/m1randa-massachusetts-institute-of-technology/tversky-sirl/runs/n5vdbfp2,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 390, 1: 24, 2: 586}, 'n_both_nonempty': 586, 'n_ttest_run': 586, 'n_significant': {0.05: 510, 0.01: 510, 0.001: 510}, 'frac_significant': {0.05: 0.8703071672354948, 0.01: 0.8703071672354948, 0.001: 0.8703071672354948}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 512, 1: 15, 2: 473}, 'n_both_nonempty': 473, 'n_ttest_run': 473, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 390, 1: 24, 2: 586}, 'n_both_nonempty': 586, 'n_ttest_run': 586, 'n_significant': {0.05: 510, 0.01: 510, 0.001: 510}, 'frac_significant': {0.05: 0.8703071672354948, 0.01: 0.8703071672354948, 0.001: 0.8703071672354948}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 512, 1: 15, 2: 473}, 'n_both_nonempty': 473, 'n_ttest_run': 473, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}}"
0,2,4,results/sirl_ts/sirl_ts_1786637199.pth,https://wandb.ai/m1randa-massachusetts-institute-of-technology/tversky-sirl/runs/83d30c0j,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 194, 1: 321, 2: 485}, 'n_both_nonempty': 485, 'n_ttest_run': 485, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 387, 1: 143, 2: 470}, 'n_both_nonempty': 470, 'n_ttest_run': 470, 'n_significant': {0.05: 393, 0.01: 393, 0.001: 393}, 'frac_significant': {0.05: 0.8361702127659575, 0.01: 0.8361702127659575, 0.001: 0.8361702127659575}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 194, 1: 321, 2: 485}, 'n_both_nonempty': 485, 'n_ttest_run': 485, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 387, 1: 143, 2: 470}, 'n_both_nonempty': 470, 'n_ttest_run': 470, 'n_significant': {0.05: 393, 0.01: 393, 0.001: 393}, 'frac_significant': {0.05: 0.8361702127659575, 0.01: 0.8361702127659575, 0.001: 0.8361702127659575}}}}"
1,2,4,results/sirl_ts/sirl_ts_1786637215.pth,https://wandb.ai/m1randa-massachusetts-institute-of-technology/tversky-sirl/runs/l3f0vrit,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 213, 1: 330, 2: 457}, 'n_both_nonempty': 457, 'n_ttest_run': 457, 'n_significant': {0.05: 432, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.9452954048140044, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 372, 1: 216, 2: 412}, 'n_both_nonempty': 412, 'n_ttest_run': 412, 'n_significant': {0.05: 354, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.8592233009708737, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 213, 1: 330, 2: 457}, 'n_both_nonempty': 457, 'n_ttest_run': 457, 'n_significant': {0.05: 432, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.9452954048140044, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 372, 1: 216, 2: 412}, 'n_both_nonempty': 412, 'n_ttest_run': 412, 'n_significant': {0.05: 354, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.8592233009708737, 0.01: 0.0, 0.001: 0.0}}}}"
2,2,4,results/sirl_ts/sirl_ts_1786637231.pth,https://wandb.ai/m1randa-massachusetts-institute-of-technology/tversky-sirl/runs/z6lmgbac,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 392, 1: 148, 2: 460}, 'n_both_nonempty': 460, 'n_ttest_run': 460, 'n_significant': {0.05: 118, 0.01: 118, 0.001: 118}, 'frac_significant': {0.05: 0.2565217391304348, 0.01: 0.2565217391304348, 0.001: 0.2565217391304348}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 420, 1: 98, 2: 482}, 'n_both_nonempty': 482, 'n_ttest_run': 482, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 392, 1: 148, 2: 460}, 'n_both_nonempty': 460, 'n_ttest_run': 460, 'n_significant': {0.05: 118, 0.01: 118, 0.001: 118}, 'frac_significant': {0.05: 0.2565217391304348, 0.01: 0.2565217391304348, 0.001: 0.2565217391304348}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 420, 1: 98, 2: 482}, 'n_both_nonempty': 482, 'n_ttest_run': 482, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}}"
0,2,8,results/sirl_ts/sirl_ts_1786637248.pth,https://wandb.ai/m1randa-massachusetts-institute-of-technology/tversky-sirl/runs/n5e6yq3d,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 49, 1: 111, 2: 840}, 'n_both_nonempty': 840, 'n_ttest_run': 840, 'n_significant': {0.05: 751, 0.01: 751, 0.001: 409}, 'frac_significant': {0.05: 0.8940476190476191, 0.01: 0.8940476190476191, 0.001: 0.4869047619047619}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 213, 1: 111, 2: 676}, 'n_both_nonempty': 676, 'n_ttest_run': 673, 'n_significant': {0.05: 457, 0.01: 312, 0.001: 153}, 'frac_significant': {0.05: 0.6790490341753344, 0.01: 0.4635958395245171, 0.001: 0.22734026745913818}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 49, 1: 111, 2: 840}, 'n_both_nonempty': 840, 'n_ttest_run': 840, 'n_significant': {0.05: 751, 0.01: 751, 0.001: 409}, 'frac_significant': {0.05: 0.8940476190476191, 0.01: 0.8940476190476191, 0.001: 0.4869047619047619}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 213, 1: 111, 2: 676}, 'n_both_nonempty': 676, 'n_ttest_run': 673, 'n_significant': {0.05: 457, 0.01: 312, 0.001: 153}, 'frac_significant': {0.05: 0.6790490341753344, 0.01: 0.4635958395245171, 0.001: 0.22734026745913818}}}}"
1,2,8,results/sirl_ts/sirl_ts_1786637265.pth,https://wandb.ai/m1randa-massachusetts-institute-of-technology/tversky-sirl/runs/2hfiwxqo,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 195, 1: 316, 2: 489}, 'n_both_nonempty': 489, 'n_ttest_run': 489, 'n_significant': {0.05: 12, 0.01: 12, 0.001: 12}, 'frac_significant': {0.05: 0.024539877300613498, 0.01: 0.024539877300613498, 0.001: 0.024539877300613498}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 275, 1: 81, 2: 644}, 'n_both_nonempty': 644, 'n_ttest_run': 644, 'n_significant': {0.05: 564, 0.01: 521, 0.001: 0}, 'frac_significant': {0.05: 0.8757763975155279, 0.01: 0.8090062111801242, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 195, 1: 316, 2: 489}, 'n_both_nonempty': 489, 'n_ttest_run': 489, 'n_significant': {0.05: 12, 0.01: 12, 0.001: 12}, 'frac_significant': {0.05: 0.024539877300613498, 0.01: 0.024539877300613498, 0.001: 0.024539877300613498}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 275, 1: 81, 2: 644}, 'n_both_nonempty': 644, 'n_ttest_run': 644, 'n_significant': {0.05: 564, 0.01: 521, 0.001: 0}, 'frac_significant': {0.05: 0.8757763975155279, 0.01: 0.8090062111801242, 0.001: 0.0}}}}"
2,2,8,results/sirl_ts/sirl_ts_1786637281.pth,https://wandb.ai/m1randa-massachusetts-institute-of-technology/tversky-sirl/runs/l7g6x7wc,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 107, 1: 149, 2: 744}, 'n_both_nonempty': 744, 'n_ttest_run': 744, 'n_significant': {0.05: 382, 0.01: 108, 0.001: 41}, 'frac_significant': {0.05: 0.5134408602150538, 0.01: 0.14516129032258066, 0.001: 0.05510752688172043}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 203, 1: 99, 2: 698}, 'n_both_nonempty': 698, 'n_ttest_run': 698, 'n_significant': {0.05: 495, 0.01: 315, 0.001: 235}, 'frac_significant': {0.05: 0.7091690544412608, 0.01: 0.4512893982808023, 0.001: 0.336676217765043}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 107, 1: 149, 2: 744}, 'n_both_nonempty': 744, 'n_ttest_run': 744, 'n_significant': {0.05: 382, 0.01: 108, 0.001: 41}, 'frac_significant': {0.05: 0.5134408602150538, 0.01: 0.14516129032258066, 0.001: 0.05510752688172043}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 203, 1: 99, 2: 698}, 'n_both_nonempty': 698, 'n_ttest_run': 698, 'n_significant': {0.05: 495, 0.01: 315, 0.001: 235}, 'frac_significant': {0.05: 0.7091690544412608, 0.01: 0.4512893982808023, 0.001: 0.336676217765043}}}}"
0,2,16,results/sirl_ts/sirl_ts_1786637299.pth,https://wandb.ai/m1randa-massachusetts-institute-of-technology/tversky-sirl/runs/j4yqph9c,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 184, 1: 68, 2: 748}, 'n_both_nonempty': 748, 'n_ttest_run': 748, 'n_significant': {0.05: 341, 0.01: 341, 0.001: 0}, 'frac_significant': {0.05: 0.45588235294117646, 0.01: 0.45588235294117646, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 261, 1: 19, 2: 720}, 'n_both_nonempty': 720, 'n_ttest_run': 720, 'n_significant': {0.05: 465, 0.01: 465, 0.001: 465}, 'frac_significant': {0.05: 0.6458333333333334, 0.01: 0.6458333333333334, 0.001: 0.6458333333333334}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 184, 1: 68, 2: 748}, 'n_both_nonempty': 748, 'n_ttest_run': 748, 'n_significant': {0.05: 341, 0.01: 341, 0.001: 0}, 'frac_significant': {0.05: 0.45588235294117646, 0.01: 0.45588235294117646, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 261, 1: 19, 2: 720}, 'n_both_nonempty': 720, 'n_ttest_run': 720, 'n_significant': {0.05: 465, 0.01: 465, 0.001: 465}, 'frac_significant': {0.05: 0.6458333333333334, 0.01: 0.6458333333333334, 0.001: 0.6458333333333334}}}}"
